Timestamp,Raw_X,Raw_Y,Raw_Z,Filtered_X,Filtered_Y,Filtered_Z
1789846352.216157,-0.03363037109375,0.0601043701171875,-0.9284210205078125,-0.00672607421875,0.012020874023437501,-0.1856842041015625
1789846352.315938,-0.0937042236328125,0.034271240234375,-1.017730712890625,-0.024121704101562502,0.016470947265625,-0.35209350585937504
1789846352.4152951,-0.049530029296875,0.0755462646484375,-1.0780487060546875,-0.029203369140625005,0.028286010742187503,-0.49728454589843757
1789846352.514863,-0.1270904541015625,0.041107177734375,-1.1548004150390625,-0.048780786132812504,0.030850244140625004,-0.6287877197265626
1789846352.614142,-0.111083984375,-0.025787353515625,-1.003448486328125,-0.061241425781250004,0.019522724609375004,-0.7037198730468751
1789846352.7138839,-0.0295867919921875,0.1401519775390625,-0.997039794921875,-0.05491049902343751,0.043648575195312504,-0.7623838574218751
1789846352.813417,-0.110107421875,0.0108184814453125,-1.02117919921875,-0.06594988359375001,0.037082556445312505,-0.8141429257812501
1789846352.9138,-0.0336456298828125,0.00177001953125,-1.15460205078125,-0.05948903285156251,0.030020049062500005,-0.8822347507812501
1789846353.013115,0.0334014892578125,0.04052734375,-1.10528564453125,-0.04091092842968751,0.03212150800000001,-0.9268449295312502
1789846353.1124048,-0.0839385986328125,0.105987548828125,-1.0590667724609375,-0.04951646247031251,0.046894716165625,-0.9532892981171878
1789846353.211495,-0.0842437744140625,0.280303955078125,-1.1151580810546875,-0.05646192485906251,0.093576563948125,-0.9856630547046877
1789846353.311331,-0.1067962646484375,0.1634063720703125,-0.9853515625,-0.06652879281693752,0.1075425255725625,-0.9856007562637503
1789846353.410719,-0.0574951171875,0.1286468505859375,-1.0337066650390625,-0.06472205769105002,0.1117633905752375,-0.9952219380188128
1789846353.510205,-0.09051513671875,-0.031280517578125,-0.996307373046875,-0.06988067349659002,0.083154608944565,-0.9954390250244253
1789846353.609797,-0.079864501953125,-0.0269012451171875,-1.005584716796875,-0.07187743918789702,0.061143438132214505,-0.9974681633789153
